id,tenant_id,client_id,entry_type,amount,effective_date,balance_after,created_at,canonical_position
dbaccc18-2c28-401b-af9f-e10167ac4ba2,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,50.00,2017-02-20,50.00,2026-07-19 21:08:27.882235+00,1
4943ee53-588b-4074-b898-f372d1504457,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,105.00,2026-02-21,155.00,2026-02-21 19:55:27.863554+00,2
1366ba8b-d14c-42aa-a7c5-ec17343165ca,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,230.00,2026-03-03,385.00,2026-03-03 03:29:18.571272+00,3
9cca7047-7d62-49bb-b83c-46f22a3b243f,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-45.00,2026-03-03,340.00,2026-03-03 03:33:36.514573+00,4
59b9a721-d41f-48db-b1ff-40ec741e8ab4,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-70.00,2026-03-03,270.00,2026-03-03 05:20:57.412367+00,5
8817234c-610f-4f4b-a3ce-8b6f99c725dd,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-12.00,2026-03-03,258.00,2026-03-03 07:15:01.41877+00,6
065c7158-e66e-4eeb-b326-580ff9086f18,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-85.00,2026-03-03,173.00,2026-03-03 07:28:39.863024+00,7
46104539-677b-4c6b-b391-8d7c8530581f,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-80.00,2026-07-18,93.00,2026-07-18 11:11:04.27201+00,8
5b301cd7-3353-4277-9c5f-2fb566cf8e34,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-23.00,2026-07-18,70.00,2026-07-18 11:11:04.573785+00,9
61bb4abc-7cd8-411f-8574-e539133b1559,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,15.00,2026-07-18,85.00,2026-07-18 11:48:00.320207+00,10
