id,tenant_id,client_id,entry_type,amount,effective_date,balance_after,created_at
4943ee53-588b-4074-b898-f372d1504457,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,105.00,2026-02-21,155.00,2026-02-21 19:55:27.863554+00
1366ba8b-d14c-42aa-a7c5-ec17343165ca,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,230.00,2026-03-03,385.00,2026-03-03 03:29:18.571272+00
9cca7047-7d62-49bb-b83c-46f22a3b243f,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-45.00,,3055.00,2026-03-03 03:33:36.514573+00
59b9a721-d41f-48db-b1ff-40ec741e8ab4,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-70.00,,2985.00,2026-03-03 05:20:57.412367+00
8817234c-610f-4f4b-a3ce-8b6f99c725dd,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-12.00,,2973.00,2026-03-03 07:15:01.41877+00
065c7158-e66e-4eeb-b326-580ff9086f18,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-85.00,,2888.00,2026-03-03 07:28:39.863024+00
46104539-677b-4c6b-b391-8d7c8530581f,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-80.00,,2808.00,2026-07-18 11:11:04.27201+00
5b301cd7-3353-4277-9c5f-2fb566cf8e34,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-23.00,,2785.00,2026-07-18 11:11:04.573785+00
61bb4abc-7cd8-411f-8574-e539133b1559,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,15.00,2026-07-18,400.00,2026-07-18 11:48:00.320207+00
9b8b1da0-00eb-47d8-aa82-f6036a4058e1,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-15.00,,2770.00,2026-07-18 11:49:26.86462+00
dbaccc18-2c28-401b-af9f-e10167ac4ba2,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,50.00,2017-02-20,50.00,2026-07-19 21:08:27.882235+00
e7343642-c672-4549-9b01-05e38cffc0a6,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,230.00,2026-07-26,630.00,2026-07-26 11:12:59.621665+00
a0011739-824a-4ef8-9286-c32c4b30e3d8,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-210.00,2026-07-26,400.00,2026-07-26 17:26:38.60266+00
9cbbe45c-02cd-4b70-b075-792bfa0178ad,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,-20.00,2026-07-26,610.00,2026-07-26 17:26:38.60266+00
04d874a8-f7ab-4472-a3c5-939c8c416a42,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,invoice,2700.00,2026-07-27,3100.00,2026-07-26 21:21:03.787586+00
1b76410e-146e-4d3f-9702-326b3c2aedb4,348ce41c-1102-4295-bf6a-2ea0203c1036,3e1f790b-ea8d-47dd-ac30-0f80b6415786,invoice,150.00,2026-02-05,150.00,2026-02-05 20:56:45.634306+00
938b39ea-8340-4734-b176-47c2b956ffdf,348ce41c-1102-4295-bf6a-2ea0203c1036,3e1f790b-ea8d-47dd-ac30-0f80b6415786,payment,-120.00,,402.00,2026-02-05 21:25:42.100566+00
d99c7b9a-9999-4ceb-9d2c-71a5468495e7,348ce41c-1102-4295-bf6a-2ea0203c1036,3e1f790b-ea8d-47dd-ac30-0f80b6415786,payment,-30.00,,372.00,2026-02-06 04:44:37.826724+00
52c41287-7eef-44dd-b586-ff471c31aa7a,348ce41c-1102-4295-bf6a-2ea0203c1036,3e1f790b-ea8d-47dd-ac30-0f80b6415786,invoice,350.00,2026-02-06,500.00,2026-02-06 21:14:16.306646+00
1147284a-2d17-49fb-960b-d6650d2a46b9,348ce41c-1102-4295-bf6a-2ea0203c1036,3e1f790b-ea8d-47dd-ac30-0f80b6415786,invoice,22.00,2026-07-25,522.00,2026-07-26 21:19:02.108745+00
aac917e5-731a-4300-8b51-e8681f5f3db3,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,-150.00,,-150.00,2026-02-05 20:41:59.592768+00
432b5a3f-aa95-4013-954f-226a2cbceaf4,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,-10.00,,-160.00,2026-02-05 20:41:59.915338+00
fba177ba-79f4-41f3-9d4a-feb3066e7010,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,invoice,150.00,2026-02-05,-10.00,2026-02-05 20:59:06.01431+00
4f52c3ac-9b00-4c22-b6c6-a66bb3010874,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,invoice,150.00,2026-02-06,140.00,2026-02-06 04:15:37.721382+00
57896343-d307-4423-8eb2-b2572af95309,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,invoice,230.00,2026-02-06,370.00,2026-02-06 04:39:32.850853+00
1c7eb5d2-2e86-4460-9c60-d30688464bdd,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,-230.00,,140.00,2026-02-06 04:40:16.882023+00
650edda7-d099-4f79-b144-cbbecc99a747,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,-150.00,,-10.00,2026-02-06 04:40:57.217116+00
17e217fa-7970-4447-bdf2-ad19642f5605,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,-150.00,,-160.00,2026-02-06 04:42:14.722455+00
33b26a88-ce93-4fdb-b789-6b754a48f9b6,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,invoice,150.00,2026-02-07,-10.00,2026-02-07 00:27:33.876173+00
bcc77591-af0c-4482-bced-7963dc141931,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,invoice,580.00,2026-02-07,570.00,2026-02-07 01:08:09.131496+00
b8527f7d-ef22-48c3-ab7e-7164f7f93260,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,invoice,105.00,2026-02-20,1835.00,2026-02-20 01:00:49.227+00
8577a63e-6f1a-4f1f-9f24-0abe4a9ca71e,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,invoice,230.00,2026-02-01,905.00,2026-04-03 00:33:03.428645+00
8fd6b44d-4b09-4d49-9f67-f2f834f132e7,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,invoice,580.00,2026-01-30,1485.00,2026-04-03 00:33:05.489627+00
43cdf7bf-0abd-46ed-a42d-b28918cf70dd,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,-580.00,2026-04-03,905.00,2026-04-03 00:33:05.489627+00
